,OPR,H02,O01
2020-01-03,19.125,,
2020-01-14,0.875,,
2020-01-16,-0.875,,
2020-01-21,12.75,,
2020-01-29,9.0,-32.0,
2020-01-30,-13.5,,
2020-01-31,,106.0,
2020-02-03,,-14.0,
2020-02-04,,,110.5
2020-02-05,,14.0,-20.25
2020-02-10,,78.75,
2020-02-13,,,-12.75
2020-02-18,-6.625,,
2020-02-20,59.125,,
2020-02-21,,52.0,
2020-02-24,-36.0,,-14.75
2020-02-25,-4.375,,
2020-02-26,53.5,,
2020-03-03,,380.0,
2020-03-04,7.125,,-15.0
2020-03-05,,,-14.0
2020-03-09,,,-146.25
2020-03-10,-48.5,,-15.0
2020-03-12,,,-92.0
2020-03-13,,-184.25,-6.0
2020-03-17,,-251.0,
2020-03-18,,-332.5,-78.25
2020-03-24,,,-39.0
2020-03-26,32.25,,
2020-03-31,-5.0,,
2020-04-01,-36.75,,
2020-04-06,,,287.25
2020-04-07,-53.25,,
2020-04-08,6.625,,
2020-04-14,30.625,,
2020-04-20,9.5,,
2020-04-29,-1.5,,
2020-05-08,-25.5,,
2020-05-18,1.0,,
2020-05-27,-7.625,-92.75,
2020-06-05,,52.25,
2020-06-09,2.0,,
2020-06-11,,,-66.0
2020-06-12,-1.5,,-32.5
2020-06-15,,173.0,-17.75
2020-06-19,27.375,,
2020-06-30,40.125,,
2020-07-02,-7.875,,
2020-07-03,-1.75,,
2020-07-06,,,110.25
2020-07-10,,-113.5,
2020-07-13,34.25,,
2020-07-16,,,-8.25
2020-07-20,53.875,,
2020-07-21,-1.5,,
2020-07-24,,,-97.5
2020-07-30,,,-20.5
2020-08-03,-0.75,,
2020-08-05,-27.75,,
2020-08-12,,86.0,
2020-08-19,-1.625,,
2020-08-20,-1.5,111.75,
2020-08-24,,,-34.0
2020-09-02,,-57.0,-5.5
2020-09-07,,,-8.0
2020-09-08,-7.25,-142.75,
2020-09-09,,,-15.5
2020-09-14,-25.25,,
2020-09-15,-1.5,,
2020-09-21,,,-79.75
2020-09-22,-37.75,,
2020-09-24,8.875,-22.0,
2020-09-25,-1.5,,
2020-09-29,-13.75,,
2020-10-02,,,-7.75
2020-10-05,21.75,,
2020-10-09,-1.75,,
2020-10-15,,-91.5,-34.25
2020-10-21,21.75,,
2020-10-23,32.5,,
2020-10-26,,-123.0,-6.0
2020-10-28,,135.0,
2020-10-30,-0.5,,
2020-11-05,,,20.75
2020-11-06,-1.5,-151.25,
2020-11-11,6.875,,
2020-11-13,8.125,,
2020-11-16,-20.75,,
2020-11-19,0.25,,
2020-11-23,0.875,,
2020-11-26,-1.5,,
2020-11-27,14.125,,
2020-12-02,-1.5,,
2020-12-10,,35.75,
2020-12-14,-33.5,-65.0,
2020-12-15,,,-26.5
2020-12-18,,-13.25,
2020-12-23,-1.5,,
2020-12-28,-0.875,,-21.0
2020-12-29,-9.25,,
2020-12-30,-6.5,,
2021-01-04,,211.25,
2021-01-05,,17.25,
2021-01-06,,,-11.25
2021-01-07,,52.75,
2021-01-11,-56.75,,
2021-01-21,-7.0,,
2021-01-22,8.375,,
2021-01-25,,,-50.0
2021-02-01,,,-35.5
2021-02-02,1.5,,57.0
2021-02-03,-13.0,,
2021-02-15,1.375,,
2021-02-18,-2.25,,
2021-02-22,,,-22.25
2021-03-01,,,221.0
2021-03-03,17.625,225.75,
2021-03-05,2.125,-156.0,
2021-03-09,,,152.0
2021-03-11,,,-44.75
2021-03-12,,,-69.75
2021-03-15,34.125,,
2021-03-18,,,214.75
2021-03-24,-2.875,,
2021-03-29,,-123.0,
2021-04-01,37.75,,23.0
2021-04-05,-4.25,,
2021-04-09,49.875,,
2021-04-13,-18.75,,
2021-04-19,39.375,,
2021-04-20,-29.25,,
2021-04-22,-1.875,,
2021-04-23,57.75,,
2021-04-27,,-4.75,
2021-04-29,,-3.0,-7.5
2021-05-03,-32.75,,
2021-05-04,97.5,-17.5,
2021-05-10,,167.75,
2021-05-11,,88.75,
2021-05-14,,,-26.25
2021-05-19,,,-54.0
2021-05-20,,79.25,
2021-05-25,-7.25,,
2021-05-26,-1.5,,
2021-06-01,30.75,,
2021-06-04,,32.0,
2021-06-10,,10.0,
2021-06-16,2.5,,
2021-06-17,,114.0,
2021-06-18,-1.0,,
2021-06-25,-0.25,,
2021-06-29,-4.625,,
2021-07-01,-1.5,,
2021-07-02,-0.375,,
2021-07-06,2.625,,
2021-07-07,,,-18.5
2021-07-13,,-86.5,
2021-07-27,94.125,,
2021-07-29,,-5.0,
2021-07-30,,-23.5,
2021-08-03,,-93.0,
2021-08-04,-3.75,,
2021-08-05,-0.125,,
2021-08-06,-2.625,,
2021-08-12,6.875,,
2021-08-13,-7.125,,
2021-08-20,,22.5,
2021-08-23,,74.75,
2021-08-30,,52.25,
2021-08-31,2.375,-53.5,
2021-09-03,,-10.25,
2021-09-06,-9.25,,
2021-09-08,-13.5,,
2021-09-10,,,-25.75
2021-09-13,,-23.75,-30.0
2021-09-14,,41.0,
2021-09-16,-1.5,,
2021-09-17,,68.75,
2021-09-20,2.375,,
2021-09-23,-5.375,,
2021-09-24,,,-21.5
2021-09-27,-3.25,,
2021-09-28,,,204.0
2021-10-01,-1.5,-129.25,
2021-10-04,,85.75,
2021-10-06,,,-22.5
2021-10-07,-1.5,,-31.75
2021-10-11,33.0,-147.5,
2021-10-14,,,123.0
2021-10-18,-1.5,,
2021-10-26,-3.125,,
2021-11-01,-15.0,-91.75,
2021-11-02,,7.75,
2021-11-04,,80.0,
2021-11-09,4.625,-15.75,
2021-11-15,6.125,,
2021-11-16,,57.25,
2021-11-18,,,-30.75
2021-11-19,-1.5,-19.0,
2021-11-22,,-107.75,
2021-11-24,-3.25,,
2021-11-26,,,216.75
2021-11-29,,,-52.75
2021-11-30,-64.75,,
2021-12-01,,,-18.25
2021-12-02,-0.125,-231.0,
2021-12-03,,74.5,
2021-12-07,,,178.5
2021-12-09,-7.75,,
2021-12-13,-1.5,,
2021-12-16,,263.25,
2021-12-17,14.0,,
2021-12-20,,,-6.25
2021-12-28,32.5,,
2022-01-05,-50.25,,
2022-01-07,-0.625,,
2022-01-10,,-190.25,
2022-01-14,,83.75,
2022-01-17,-26.75,,
2022-01-18,-50.0,,-80.25
2022-01-24,12.75,,
2022-01-25,-1.5,,
2022-01-26,,,-31.0
2022-01-27,-4.25,,
2022-01-28,,-209.5,
2022-01-31,,247.25,
2022-02-01,8.125,,
2022-02-15,,,-51.25
2022-02-22,,-153.75,
2022-02-24,,694.5,-3.75
2022-03-02,-7.125,,
2022-03-03,13.75,,
2022-03-07,-5.125,351.25,
2022-03-09,,,-63.0
2022-03-16,,,-69.5
2022-03-17,-32.75,,
2022-03-23,-20.5,,
2022-04-01,-1.5,,
2022-04-04,,115.0,
2022-04-05,50.75,,
2022-04-06,,-177.0,
2022-04-08,,-113.25,
2022-04-12,-23.5,,
2022-04-19,,188.0,
2022-04-20,,72.75,
2022-04-21,,,-96.75
2022-04-26,,209.25,
2022-04-27,-23.375,-98.5,
2022-04-29,,-159.0,
2022-05-04,-18.875,,
2022-05-05,,242.0,
2022-05-06,,-189.5,
2022-05-13,,,259.0
2022-05-18,-15.0,,
2022-05-20,,,-52.75
2022-05-24,47.375,,
2022-05-25,10.625,,
2022-05-26,71.25,168.25,
2022-05-31,1.25,,
2022-06-02,51.375,,
2022-06-06,,,-27.5
2022-06-07,94.875,,
2022-06-13,-35.5,,202.75
2022-06-16,37.25,,118.75
2022-06-20,-14.5,,
2022-06-22,73.125,,
2022-06-24,,110.25,
2022-06-27,83.75,68.75,
2022-06-30,-1.5,-229.0,
2022-07-05,-67.75,,
2022-07-08,-3.5,,
2022-07-11,,-25.75,
2022-07-13,,84.25,
2022-07-14,-5.75,,
2022-07-22,-1.5,,
2022-07-26,-0.375,,
2022-07-27,,,269.25
2022-08-01,-1.5,,
2022-08-02,-12.625,,
2022-08-03,,124.75,
2022-08-04,-1.5,,
2022-08-08,-61.5,-167.25,
2022-08-15,7.125,,
2022-08-16,-0.875,,
2022-08-19,,48.0,
2022-08-22,,,115.25
2022-08-30,-8.375,,
2022-09-02,,-132.5,
2022-09-05,9.25,,
2022-09-06,-6.625,,
2022-09-07,-9.75,,
2022-09-09,,,124.0
2022-09-15,20.0,,
2022-09-16,-2.375,,
2022-09-19,5.0,,
2022-09-22,-1.875,,
2022-09-23,-4.75,,
2022-09-26,-15.875,-146.75,
2022-09-27,-8.0,,-91.25
2022-09-29,,-22.75,
2022-10-03,18.125,,
2022-10-04,-8.375,-7.25,70.25
2022-10-11,-1.5,,
2022-10-14,-1.5,244.5,
2022-10-19,-33.5,,
2022-10-21,,187.75,
2022-10-25,23.625,,
2022-11-01,69.75,112.25,
2022-11-07,-46.75,,
2022-11-08,-5.0,,
2022-11-10,43.75,,
2022-11-16,-9.25,,
2022-11-18,4.0,,
2022-12-01,-15.875,,
2022-12-06,,85.0,
2022-12-08,-28.25,,
2022-12-14,8.625,,
2022-12-15,,67.75,187.5
2022-12-22,,12.25,
2022-12-27,,5.5,
2023-01-03,,41.75,
2023-01-06,-1.5,,
2023-01-09,68.75,-130.0,
2023-01-11,-7.25,,
2023-01-12,,-112.75,
2023-01-13,-1.5,,
2023-01-16,-14.25,,
2023-01-17,5.375,,
2023-01-20,5.0,,
2023-01-23,,118.75,
2023-01-25,19.625,,-15.25
2023-01-27,-4.875,65.75,
2023-01-30,,,-18.25
2023-02-01,-7.75,,
2023-02-02,-7.0,,
2023-02-03,5.875,-85.75,
2023-02-08,-11.375,,
2023-02-09,,,-47.25
2023-02-10,-2.25,,
2023-02-16,-10.25,,
2023-02-21,19.0,,
2023-03-09,1.0,-113.5,
2023-03-10,,-84.0,
2023-03-14,-27.0,,
2023-03-23,5.625,,-10.5
2023-03-24,-1.25,,
2023-03-27,19.75,,
2023-03-29,,,-27.0
2023-04-11,-15.75,,
2023-04-12,,124.75,
2023-04-14,,-117.0,
2023-04-18,6.625,,
2023-04-20,,,-24.25
2023-05-01,-2.5,,
2023-05-04,3.875,,
2023-05-05,36.875,,
2023-05-08,0.25,,
2023-05-09,-4.125,,
2023-05-22,,-12.75,
2023-05-24,11.375,,
2023-05-25,,-66.25,
2023-05-26,,198.25,
2023-06-06,-33.5,,
2023-06-09,-34.0,-105.0,
2023-06-13,,-69.0,
2023-06-14,,,-18.25
2023-06-15,4.0,,
2023-06-16,0.5,92.75,
2023-06-21,,59.25,
2023-06-22,,117.0,
2023-06-26,5.5,-109.0,
2023-06-27,8.375,,
2023-06-30,15.625,,
2023-07-03,0.625,,
2023-07-04,-2.5,,
2023-07-05,,-17.25,
2023-07-11,-11.25,,
2023-07-12,-2.75,,
2023-07-13,-41.5,,102.25
2023-07-14,,-84.0,
2023-07-21,,62.5,
2023-07-27,,,-54.0
2023-07-28,-1.5,,
2023-08-03,-1.5,,
2023-08-08,,-53.75,
2023-08-10,,-158.25,
2023-08-21,4.5,,
2023-08-22,,,-6.25
2023-08-23,-2.625,,
2023-08-24,,363.0,
2023-08-25,-3.375,,
2023-08-29,,182.5,
2023-08-31,-6.25,,
2023-09-08,-0.375,,
2023-09-12,-6.875,,
2023-09-15,60.0,114.5,
2023-09-18,1.875,,
2023-09-19,,-97.25,
2023-09-21,-3.125,,
2023-09-22,-23.5,,
2023-09-26,,,127.25
2023-09-29,,,-16.0
2023-10-03,30.0,-30.0,
2023-10-04,-67.25,,
2023-10-05,27.25,-75.5,
2023-10-09,-5.0,,
2023-10-10,50.125,,
2023-10-16,57.25,,
2023-10-17,-1.5,,
2023-10-20,-2.0,,
2023-10-25,,150.75,182.25
2023-10-26,,112.75,
2023-10-30,-1.5,,
2023-11-01,-1.5,,
2023-11-02,-1.875,,
2023-11-03,73.0,,
2023-11-10,-32.0,,
2023-11-16,-7.75,,
2023-11-20,,93.75,
2023-11-24,-17.75,,
2023-11-28,29.0,,
2023-12-05,38.75,-15.0,
2023-12-06,,104.5,
2023-12-08,-2.625,,
2023-12-11,-4.375,74.75,
2023-12-13,,,-36.0
2023-12-19,-4.25,,
2023-12-22,-24.25,,
2023-12-26,9.75,,
2023-12-28,-2.25,,
2024-01-02,,56.5,
2024-01-05,8.0,,
2024-01-08,,158.75,
2024-01-09,39.5,,
2024-01-11,-3.625,,
2024-01-17,-31.25,-116.0,
2024-01-19,,,251.0
2024-01-24,,,-2.75
2024-02-05,-6.5,,
2024-02-06,,-26.0,
2024-02-07,33.75,,
2024-02-09,28.75,,
2024-02-15,-1.5,,
2024-02-16,33.625,2.75,
2024-02-19,-15.75,,
2024-02-22,,,150.25
2024-02-29,-71.5,,
2024-03-01,25.625,,
2024-03-05,,135.5,
2024-03-06,-49.5,-133.25,
2024-03-13,,,-21.25
2024-03-14,,-35.25,
2024-03-15,-7.625,,
2024-03-27,,-101.0,
2024-04-01,,-69.75,
2024-04-02,-1.5,,
2024-04-03,10.25,16.75,
2024-04-05,3.5,,
2024-04-09,-41.0,,
2024-04-12,5.875,,
2024-04-15,29.375,,-32.0
2024-04-17,31.125,,
2024-04-19,-22.25,,
2024-04-23,35.125,,
2024-04-24,-2.5,,
2024-05-01,74.5,,
2024-05-02,-40.5,-130.75,-14.5
2024-05-03,-1.5,,
2024-05-06,3.875,,
2024-05-09,-2.875,,
2024-05-10,-1.5,,
2024-05-16,-1.5,,
2024-05-20,-1.25,20.75,
2024-05-23,174.125,167.75,
2024-05-28,-33.75,,
2024-05-29,,-17.5,
2024-05-30,2.625,,
2024-06-03,-3.125,,
